"Enabled","Activé"
"Disabled","Desactivé"
"username","Profil"
"Media","Media"
"Add store","Ajouter à une vue magasin"
"Remove store","Supprimer d'une vue magasin"
"Change status","Changer de status"
"Add Post","Ajouter un post"
"There was an error updating posts.","Oups, erreur pendant la mise à jour"
"Total of %d posts were successfully updated.","%d posts ont été mis à jour avec succés."
"Post was successfully saved","Le post a été sauvegardé avec succés."
"Last Posts where successfully loaded (%d)","Les derniers Posts ont été chargé avec succés (%d)"
"Load last Posts","Charger les deniers Posts"
"Are you sure you want to load last posts form instagram ?","Etes-vous certain de vouloir charger les deniers Posts depuis Instagram ?"
"User account","Compte instagram"
"Hashtagged","Hashtag"
"Like count","Nombre de likes"
"Delete","Supprimer"
"Total of %d posts were successfully deleted.","Un total de %d posts ont été supprimés avec succés."
"Are you sure?","Êtes vous certain ?"
"Manage Posts","Gérer les Posts"
"Caption","Contenu"
"Are you sure you want to save all images locally ?","Êtes vous certain de vouloir enregistrer toutes les images sur le serveur magento ?"
"Save posts locally","Télécharger les images"